3月7日現在,,,,
銘柄コード,銘柄名,上場グループ種別,売買単位,貸借区分
1617,食品,内国投信受益証券,1,貸借銘柄
1618,エネ資源,内国投信受益証券,1,貸借銘柄
1619,建設資材,内国投信受益証券,1,貸借銘柄
1620,素材化学,内国投信受益証券,1,貸借銘柄
1621,医薬品,内国投信受益証券,1,貸借銘柄
1622,自動車,内国投信受益証券,1,貸借銘柄
1623,鉄鋼非鉄,内国投信受益証券,1,貸借銘柄
1624,機械,内国投信受益証券,1,貸借銘柄
1625,電機精密,内国投信受益証券,1,貸借銘柄
1626,情通サ他,内国投信受益証券,1,貸借銘柄
1627,電力ガス,内国投信受益証券,1,貸借銘柄
1628,運輸物流,内国投信受益証券,1,貸借銘柄
1629,商社卸売,内国投信受益証券,1,貸借銘柄
1630,小売,内国投信受益証券,1,貸借銘柄
1631,銀行・１７,内国投信受益証券,1,貸借銘柄
1632,金融,内国投信受益証券,1,貸借銘柄
1633,不動産,内国投信受益証券,1,貸借銘柄
1634,ダイワ食品,内国投信受益証券,1,貸借銘柄
1635,ダイワエネ,内国投信受益証券,1,貸借銘柄
1636,ダイワ建設,内国投信受益証券,1,貸借銘柄
1637,ダイワ素材,内国投信受益証券,1,貸借銘柄
1638,ダイワ医薬,内国投信受益証券,1,貸借銘柄
1639,ダイワ自動,内国投信受益証券,1,貸借銘柄
1640,ダイワ鉄鋼,内国投信受益証券,1,貸借銘柄
1641,ダイワ機械,内国投信受益証券,1,貸借銘柄
1642,ダイワ電機,内国投信受益証券,1,貸借銘柄
1643,ダイワ情報,内国投信受益証券,1,貸借銘柄
1644,ダイワ電力,内国投信受益証券,1,貸借銘柄
1645,ダイワ運輸,内国投信受益証券,1,貸借銘柄
1646,ダイワ商社,内国投信受益証券,1,貸借銘柄
1647,ダイワ小売,内国投信受益証券,1,貸借銘柄
1648,ダイワ銀行,内国投信受益証券,1,貸借銘柄
1649,ダイワ金融,内国投信受益証券,1,貸借銘柄
1650,ダイワ不動,内国投信受益証券,1,貸借銘柄
1662,石油資源,市場第一部（内国株）,100,貸借銘柄
1663,Ｋ＆Ｏエナジー,市場第一部（内国株）,100,貸借銘柄
1670,ＭＸＳ三菱,内国投信受益証券,100,貸借銘柄
1671,ＷＴＩ原油ＥＴＦ,内国投信受益証券,1,貸借銘柄
1672,金ＥＴＦ,外国投信受益証券,1,貸借銘柄
1673,銀ＥＴＦ,外国投信受益証券,10,貸借銘柄
1674,プラチナＥＴＦ,外国投信受益証券,1,貸借銘柄
1675,パラジＥＴＦ,外国投信受益証券,1,貸借銘柄
1676,キンゾクＥＴＦ,外国投信受益証券,1,貸借銘柄
1677,上場外債,内国投信受益証券,10,貸借銘柄
1678,インドＮＩＦ,内国投信受益証券,100,貸借銘柄
1679,ＮＹダウ,内国投信受益証券,10,貸借銘柄
1680,上場ＭＳコク,内国投信受益証券,10,貸借銘柄
1681,上場ＭＳエマ,内国投信受益証券,10,貸借銘柄
1682,白金先物ＥＴＦ,内国投信受益証券,100,貸借銘柄
1683,金先物連動ＥＴＦ,内国投信受益証券,10,貸借銘柄
1684,商品ＥＴＦ,外国投信受益証券,10,貸借銘柄
1685,エナジーＥＴＦ,外国投信受益証券,10,貸借銘柄
1686,メタルＥＴＦ,外国投信受益証券,10,貸借銘柄
1687,アグリＥＴＦ,外国投信受益証券,10,貸借銘柄
1688,穀物ＥＴＦ,外国投信受益証券,10,貸借銘柄
1689,ガスＥＴＦ,外国投信受益証券,100,貸借銘柄
1690,原油ＥＴＦ,外国投信受益証券,10,貸借銘柄
1691,ガソリンＥＴＦ,外国投信受益証券,1,貸借銘柄
1692,アルミＥＴＦ,外国投信受益証券,100,貸借銘柄
1693,銅ＥＴＦ,外国投信受益証券,10,貸借銘柄
1694,ニッケルＥＴＦ,外国投信受益証券,10,貸借銘柄
1695,小麦ＥＴＦ,外国投信受益証券,100,貸借銘柄
1696,コーンＥＴＦ,外国投信受益証券,100,貸借銘柄
1697,大豆ＥＴＦ,外国投信受益証券,10,貸借銘柄
1698,上場配当,内国投信受益証券,10,貸借銘柄
1699,野村原油,内国投信受益証券,10,貸借銘柄
1711,省電舎,市場第二部（内国株）,100,制度信用銘柄
1712,ダイセキＳ,市場第一部（内国株）,100,貸借銘柄
1716,Ｊ－第一カッター,JASDAQスタンダード（内国株式）,100,貸借銘柄
1717,Ｊ－明豊ファシリ,JASDAQスタンダード（内国株式）,100,制度信用銘柄
1718,Ｊ－美樹工業,JASDAQスタンダード（内国株式）,1000,制度信用銘柄
1719,安藤ハザマ,市場第一部（内国株）,100,貸借銘柄
1720,東急建設,市場第一部（内国株）,100,貸借銘柄
1721,コムシスＨＤ,市場第一部（内国株）,100,貸借銘柄
1722,ＭＩＳＡＷＡ,市場第一部（内国株）,100,貸借銘柄
1723,Ｊ－日本電技,JASDAQスタンダード（内国株式）,100,制度信用銘柄
1724,Ｊ－シンクレイヤ,JASDAQスタンダード（内国株式）,100,制度信用銘柄
1726,Ｂｒ．ＨＤ,市場第二部（内国株）,100,制度信用銘柄
1728,Ｊ－ミサワ中国,JASDAQスタンダード（内国株式）,1000,制度信用銘柄
1730,Ｊ－麻生フオーム,JASDAQスタンダード（内国株式）,1000,制度信用銘柄
1736,Ｊ－オーテック,JASDAQスタンダード（内国株式）,100,制度信用銘柄
1737,ＭＥＳＣＯ,市場第二部（内国株）,1000,制度信用銘柄
1739,Ｊ－ＳＥＥＤＨ,JASDAQグロース（内国株式）,100,制度信用銘柄
1743,コーアツ工業,市場第二部（内国株）,1000,制度信用銘柄
1757,クレアＨＤ,市場第二部（内国株）,100,制度信用銘柄
1758,Ｊ－太洋基礎,JASDAQスタンダード（内国株式）,1000,制度信用銘柄
1762,高松Ｇ,市場第一部（内国株）,100,貸借銘柄
1764,工藤建設,市場第二部（内国株）,1000,制度信用銘柄
1766,東建コーポ,市場第一部（内国株）,100,貸借銘柄
1768,ソネック,市場第二部（内国株）,100,制度信用銘柄
1770,Ｊ－藤田エンジ,JASDAQスタンダード（内国株式）,100,制度信用銘柄
1773,ＹＴＬ,市場第一部（外国株）,1000,制度信用銘柄
1775,ＦＦＥ＆Ｃ,市場第二部（内国株）,1000,制度信用銘柄
1776,三住道路,市場第二部（内国株）,1000,制度信用銘柄
1780,ヤマウラ,市場第一部（内国株）,100,貸借銘柄
1782,Ｊ－常磐開発,JASDAQスタンダード（内国株式）,1000,制度信用銘柄
1783,Ｊ－アジアゲートＨＤ,JASDAQスタンダード（内国株式）,100,制度信用銘柄
1787,Ｊ－ナカボーテック,JASDAQスタンダード（内国株式）,1000,制度信用銘柄
1788,Ｊ－三東工業,JASDAQスタンダード（内国株式）,1000,制度信用銘柄
1789,Ｊ－山加電業,JASDAQスタンダード（内国株式）,100,貸借銘柄
1793,Ｊ－大本組,JASDAQスタンダード（内国株式）,1000,制度信用銘柄
1795,Ｊ－マサル,JASDAQスタンダード（内国株式）,1000,制度信用銘柄
1798,Ｊ－守谷商会,JASDAQスタンダード（内国株式）,1000,制度信用銘柄
1799,Ｊ－第一建設,JASDAQスタンダード（内国株式）,100,貸借銘柄
1801,大成建,市場第一部（内国株）,1000,貸借銘柄
1802,大林組,市場第一部（内国株）,100,貸借銘柄
1803,清水建,市場第一部（内国株）,1000,貸借銘柄
1805,飛島建,市場第一部（内国株）,100,貸借銘柄
1807,Ｊ－佐藤渡辺,JASDAQスタンダード（内国株式）,1000,制度信用銘柄
1808,長谷工,市場第一部（内国株）,100,貸借銘柄
1810,松井建,市場第一部（内国株）,100,貸借銘柄
1811,銭高組,市場第一部（内国株）,1000,貸借銘柄
1812,鹿島,市場第一部（内国株）,1000,貸借銘柄
1813,不動テトラ,市場第一部（内国株）,100,貸借銘柄
1814,大末建,市場第一部（内国株）,100,貸借銘柄
1815,鉄建,市場第一部（内国株）,1000,貸借銘柄
1820,西松建,市場第一部（内国株）,1000,貸借銘柄
1821,三住建設,市場第一部（内国株）,100,貸借銘柄
1822,大豊建,市場第一部（内国株）,1000,貸借銘柄
1824,前田建,市場第一部（内国株）,1000,貸借銘柄
1826,佐田建,市場第一部（内国株）,100,貸借銘柄
1827,ナカノフドー,市場第一部（内国株）,100,貸借銘柄
1828,田辺工業,市場第二部（内国株）,100,制度信用銘柄
1833,奥村組,市場第一部（内国株）,1000,貸借銘柄
1835,東鉄工,市場第一部（内国株）,100,貸借銘柄
1840,土屋ＨＤ,市場第二部（内国株）,100,貸借銘柄
1841,Ｊ－サンユー建設,JASDAQスタンダード（内国株式）,100,制度信用銘柄
1844,大盛工,市場第二部（内国株）,100,制度信用銘柄
1846,鈴縫工,市場第二部（内国株）,1000,制度信用銘柄
1847,イチケン,市場第一部（内国株）,1000,制度信用銘柄
1848,富士ピー・エス,市場第二部（内国株）,1000,制度信用銘柄
1850,南海辰村建設,市場第二部（内国株）,1000,制度信用銘柄
1852,浅沼組,市場第一部（内国株）,1000,貸借銘柄
1853,森組,市場第二部（内国株）,1000,制度信用銘柄
1860,戸田建,市場第一部（内国株）,1000,貸借銘柄
1861,熊谷組,市場第一部（内国株）,1000,貸借銘柄
1865,青木あす,市場第一部（内国株）,100,制度信用銘柄
1866,北野建,市場第一部（内国株）,1000,貸借銘柄
1867,植木組,市場第一部（内国株）,1000,貸借銘柄
1868,三井ホーム,市場第一部（内国株）,1000,貸借銘柄
1870,矢作建,市場第一部（内国株）,100,貸借銘柄
1871,ＰＳ三菱,市場第一部（内国株）,100,制度信用銘柄
1873,日本ハウスＨＤ,市場第一部（内国株）,100,制度信用銘柄
1878,大東建,市場第一部（内国株）,100,貸借銘柄
1879,新日本建,市場第一部（内国株）,100,貸借銘柄
1881,ＮＩＰＰＯ,市場第一部（内国株）,1000,貸借銘柄
1882,東亜道,市場第一部（内国株）,1000,貸借銘柄
1883,前田道,市場第一部（内国株）,1000,貸借銘柄
1884,日道路,市場第一部（内国株）,1000,貸借銘柄
1885,東亜建,市場第一部（内国株）,1000,貸借銘柄
1888,若築建,市場第一部（内国株）,1000,貸借銘柄
1890,東洋建,市場第一部（内国株）,100,貸借銘柄
1893,五洋建,市場第一部（内国株）,100,貸借銘柄
1896,大林道,市場第一部（内国株）,100,貸借銘柄
1897,金下建設,市場第二部（内国株）,1000,貸借銘柄
1898,世紀東急,市場第一部（内国株）,100,制度信用銘柄
1899,福田組,市場第一部（内国株）,1000,貸借銘柄
1904,Ｊ－大成温調,JASDAQスタンダード（内国株式）,1000,制度信用銘柄
1905,Ｊ－テノックス,JASDAQスタンダード（内国株式）,100,制度信用銘柄
1906,Ｊ－細田工務,JASDAQスタンダード（内国株式）,100,制度信用銘柄
1909,日本ドライケミカル,市場第一部（内国株）,100,制度信用銘柄
1911,住友林,市場第一部（内国株）,100,貸借銘柄
1914,日基礎,市場第一部（内国株）,100,貸借銘柄
1916,日成ビルド,市場第一部（内国株）,1000,貸借銘柄
1919,ヤマダＳＸＬ,市場第一部（内国株）,1000,貸借銘柄
1921,巴,市場第一部（内国株）,100,貸借銘柄
1924,パナホーム,市場第一部（内国株）,1000,貸借銘柄
1925,大和ハウス,市場第一部（内国株）,100,貸借銘柄
1926,ライト工,市場第一部（内国株）,100,貸借銘柄
1928,積水ハウス,市場第一部（内国株）,100,貸借銘柄
1929,日特建,市場第一部（内国株）,100,貸借銘柄
1930,北陸電工,市場第一部（内国株）,100,貸借銘柄
1931,日本電通,市場第二部（内国株）,1000,貸借銘柄
1933,ＳＹＳＫＥＮ,市場第二部（内国株）,1000,貸借銘柄
1934,ユアテック,市場第一部（内国株）,1000,貸借銘柄
1935,ＴＴＫ,市場第二部（内国株）,1000,制度信用銘柄
1937,西部電工,市場第一部（内国株）,1000,貸借銘柄
1938,日リーテック,市場第二部（内国株）,1000,制度信用銘柄
1939,四電工,市場第一部（内国株）,1000,貸借銘柄
1941,中電工,市場第一部（内国株）,100,貸借銘柄
1942,関電工,市場第一部（内国株）,1000,貸借銘柄
1944,きんでん,市場第一部（内国株）,100,貸借銘柄
1945,東京エネシス,市場第一部（内国株）,1000,貸借銘柄
1946,トーエネック,市場第一部（内国株）,1000,貸借銘柄
1948,弘電社,市場第二部（内国株）,1000,制度信用銘柄
1949,住友電設,市場第一部（内国株）,100,貸借銘柄
1950,日本電設,市場第一部（内国株）,100,貸借銘柄
1951,協エクシオ,市場第一部（内国株）,100,貸借銘柄
1952,新日空調,市場第一部（内国株）,100,貸借銘柄
1954,日工営,市場第一部（内国株）,1000,貸借銘柄
1956,ＮＤＳ,市場第一部（内国株）,1000,貸借銘柄
1959,九電工,市場第一部（内国株）,1000,貸借銘柄
1960,サンテック,市場第二部（内国株）,100,制度信用銘柄
1961,三機工,市場第一部（内国株）,100,貸借銘柄
1963,日揮,市場第一部（内国株）,1000,貸借銘柄
1964,中外炉,市場第一部（内国株）,1000,貸借銘柄
1965,テクノ菱和,市場第二部（内国株）,100,貸借銘柄
1966,高田工業所,市場第二部（内国株）,100,制度信用銘柄
1967,ヤマト,市場第一部（内国株）,100,貸借銘柄
1968,太平電,市場第一部（内国株）,1000,貸借銘柄
1969,高砂熱,市場第一部（内国株）,100,貸借銘柄
1971,中央ビルト,市場第二部（内国株）,1000,制度信用銘柄
1972,三晃金,市場第一部（内国株）,1000,貸借銘柄
1973,ＮＥＳＩＣ,市場第一部（内国株）,100,貸借銘柄
1975,朝日工,市場第一部（内国株）,1000,貸借銘柄
1976,明星工業,市場第一部（内国株）,100,貸借銘柄
1979,大気社,市場第一部（内国株）,100,貸借銘柄
1980,ダイダン,市場第一部（内国株）,1000,貸借銘柄
1981,Ｊ－協和日成,JASDAQスタンダード（内国株式）,100,制度信用銘柄
1982,日比谷設,市場第一部（内国株）,100,貸借銘柄
1983,東芝プラ,市場第一部（内国株）,100,貸借銘柄
1984,Ｊ－三信建設,JASDAQスタンダード（内国株式）,1000,制度信用銘柄
1987,ソルコム,市場第二部（内国株）,1000,制度信用銘柄
1989,北陸電話工事,市場第二部（内国株）,100,制度信用銘柄
1992,Ｊ－神田通機,JASDAQスタンダード（内国株式）,1000,制度信用銘柄
1994,Ｊ－高橋ウォール,JASDAQスタンダード（内国株式）,100,制度信用銘柄
1997,Ｊ－暁飯島,JASDAQスタンダード（内国株式）,100,制度信用銘柄
2001,日粉,市場第一部（内国株）,1000,貸借銘柄
2002,日清粉Ｇ,市場第一部（内国株）,100,貸借銘柄
2003,日東富士,市場第一部（内国株）,1000,制度信用銘柄
2004,昭和産,市場第一部（内国株）,1000,貸借銘柄
2008,増田製粉所,市場第二部（内国株）,1000,制度信用銘柄
2009,鳥越粉,市場第一部（内国株）,100,制度信用銘柄
2021,ｉ商品,外国投信受益証券,1,貸借銘柄
2022,ｉ貴金属,外国投信受益証券,1,貸借銘柄
2023,ｉメタル,外国投信受益証券,1,貸借銘柄
2024,ｉエネルギー,外国投信受益証券,1,貸借銘柄
2025,ｉアグリ,外国投信受益証券,1,貸借銘柄
2026,ｉ穀物,外国投信受益証券,1,貸借銘柄
2027,ｉソフト,外国投信受益証券,1,貸借銘柄
2028,ｉ畜産物,外国投信受益証券,1,貸借銘柄
2029,ｉＶＩＸ中,外国投信受益証券,1,貸借銘柄
2030,ｉＶＩＸ短,外国投信受益証券,1,貸借銘柄
