▼一般信用（長期・売短）売建可能銘柄一覧
種類,融資銘柄,銘柄コード,銘柄名称
売短,○,2493,イーサポートリンク
売短,○,2499,日本和装ホールディングス
長期,,2501,サッポロホールディングス
長期,,2502,アサヒグループホールディングス
長期,,2503,キリンホールディングス
長期,,2531,宝ホールディングス
長期,,2533,オエノンホールディングス
長期,,2540,養命酒製造
長期,,2579,コカ・コーラウエスト
長期,,2580,コカ・コーライーストジャパン
長期,,2587,サントリー食品インターナショナル
長期,,2590,ダイドードリンコ
長期,,2593,伊藤園
長期,,2594,キーコーヒー
長期,○,2597,ユニカフェ
長期,,2602,日清オイリオグループ
長期,,2607,不二製油グループ本社
長期,,2613,Ｊ－オイルミルズ
長期,,2651,ローソン
売短,○,2655,マックスバリュ東北
長期,,2659,サンエー
売短,○,2668,タビオ
長期,,2670,エービーシー・マート
長期,,2674,ハードオフコーポレーション
売短,○,2675,ダイナック
長期,,2676,高千穂交易
長期,,2678,アスクル
長期,,2681,ゲオホールディングス
売短,○,2683,魚喜
長期,,2685,アダストリア
売短,○,2686,ジーフット
長期,○,2692,伊藤忠食品
売短,○,2693,ＹＫＴ
長期,,2695,くらコーポレーション
売短,,2698,キャンドゥ
長期,,2702,日本マクドナルドホールディングス
売短,,2703,日本ライトン
売短,○,2706,ブロッコリー
長期,,2715,エレマテック
長期,,2726,パル
長期,,2733,あらた
長期,,2734,サーラコーポレーション
長期,,2735,ワッツ
長期,○,2737,トーメンデバイス
売短,,2751,テンポスバスターズ
売短,○,2752,フジオフードシステム
長期,,2760,東京エレクトロン　デバイス
売短,○,2762,三光マーケティングフーズ
長期,○,2764,ひらまつ
長期,○,2767,フィールズ
長期,,2768,双日
売短,○,2769,ヴィレッジヴァンガードコーポレーション
売短,,2778,パレモ
長期,,2782,セリア
長期,,2784,アルフレッサ　ホールディングス
売短,○,2789,カルラ
長期,○,2790,ナフコ
長期,,2792,ハニーズ
長期,,2796,ファーマライズホールディングス
売短,○,2798,ワイズテーブルコーポレーション
長期,,2801,キッコーマン
長期,,2802,味の素
長期,,2809,キユーピー
長期,,2810,ハウス食品グループ本社
長期,,2811,カゴメ
長期,,2815,アリアケジャパン
売短,○,2830,アヲハタ
長期,,2871,ニチレイ
長期,,2874,横浜冷凍
長期,,2875,東洋水産
長期,,2897,日清食品ホールディングス
長期,,2899,永谷園ホールディングス
売短,,2904,一正蒲鉾
長期,,2908,フジッコ
長期,,2910,ロック・フィールド
長期,,2914,日本たばこ産業
長期,,2918,わらべや日洋
長期,,2922,なとり
売短,○,2927,ＡＦＣ－ＨＤアムスライフサイエンス
売短,○,2930,北の達人コーポレーション
長期,,3001,片倉工業
長期,,3002,グンゼ
長期,,3003,ヒューリック
長期,,3023,ラサ商事
長期,,3028,アルペン
長期,,3034,クオール
長期,,3036,アルコニックス
売短,○,3038,神戸物産
売短,,3046,ジェイアイエヌ
長期,,3048,ビックカメラ
長期,,3050,ＤＣＭホールディングス
売短,○,3053,ペッパーフードサービス
売短,○,3057,ゼットン
売短,,3063,ジェイグループホールディングス
長期,,3064,ＭｏｎｏｔａＲＯ
売短,○,3073,ダイヤモンドダイニング
長期,,3076,あい　ホールディングス
売短,○,3082,きちり
売短,○,3085,アークランドサービス
長期,,3086,Ｊ．フロント　リテイリング
長期,,3087,ドトール・日レスホールディングス
長期,,3088,マツモトキヨシホールディングス
売短,,3089,テクノアルファ
売短,○,3091,ブロンコビリー
長期,,3092,スタートトゥデイ
長期,,3093,トレジャー・ファクトリー
長期,,3097,物語コーポレーション
長期,,3098,ココカラファイン
長期,,3099,三越伊勢丹ホールディングス
長期,,3101,東洋紡
売短,,3103,ユニチカ
長期,,3104,富士紡ホールディングス
長期,,3105,日清紡ホールディングス
長期,,3106,倉敷紡績
長期,,3107,ダイワボウホールディングス
長期,,3109,シキボウ
長期,,3110,日東紡績
長期,,3116,トヨタ紡織
長期,,3132,マクニカ・富士エレホールディングス
売短,○,3134,Ｈａｍｅｅ
売短,○,3140,イデアインターナショナル
長期,,3141,ウエルシアホールディングス
売短,○,3147,リックコーポレーション
長期,,3148,クリエイトＳＤホールディングス
長期,,3151,バイタルケーエスケー・ホールディングス
長期,,3156,ＵＫＣホールディングス
長期,,3159,丸善ＣＨＩホールディングス
売短,○,3160,大光
長期,,3167,ＴＯＫＡＩホールディングス
売短,,3168,黒谷
売短,○,3169,ミサワ
売短,○,3171,マックスバリュ九州
売短,○,3172,ティーライフ
長期,,3176,三洋貿易
長期,,3178,チムニー
売短,○,3181,買取王国
長期,,3183,ウイン・パートナーズ
売短,,3186,ネクステージ
長期,,3191,ジョイフル本田
売短,,3193,鳥貴族
長期,○,3194,キリン堂ホールディングス
売短,○,3195,ジェネレーションパス
売短,,3196,ホットランド
長期,,3197,すかいらーく
売短,○,3198,ＳＦＰダイニング
長期,,3201,日本毛織
長期,,3205,ダイドーリミテッド
長期,,3222,ユナイテッド・スーパーマーケット・ホールディングス
長期,,3226,日本アコモデーションファンド投資法人　投資証券
長期,○,3227,ＭＣＵＢＳ　ＭｉｄＣｉｔｙ投資法人　投資証券
長期,○,3228,三栄建築設計
売短,,3230,スター・マイカ
長期,,3231,野村不動産ホールディングス
長期,,3234,森ヒルズリート投資法人　投資証券
長期,,3249,産業ファンド投資法人　投資証券
長期,,3250,エー・ディー・ワークス
長期,,3263,大和ハウスリート投資法人　投資証券
長期,,3269,アドバンス・レジデンス投資法人　投資証券
売短,,3271,ＴＨＥグローバル社
売短,,3276,日本管理センター
売短,,3277,サンセイランディック
長期,,3278,ケネディクス・レジデンシャル投資法人　投資証券
長期,,3279,アクティビア・プロパティーズ投資法人　投資証券
長期,,3281,ＧＬＰ投資法人　投資証券
長期,○,3282,コンフォリア・レジデンシャル投資法人　投資証券
売短,,3283,日本プロロジスリート投資法人　投資証券
長期,○,3287,星野リゾート・リート投資法人　投資証券
